============================================
Dump: raid_overgod_20260919_161016
============================================

[I] segments loaded: 21189
[I] TLV messages parsed: 31387
[I] S2C: 856148 bytes, 856148 walked
[I] known players (valid range): 437

===== RESULTS =====
Total hits: 428

  KINGDOM         ASCII      tag= 492:  1 hits
  KINGDOM         UTF-8      tag= 492:  1 hits
  Lagspear        ASCII      tag=  65:  1 hits
  Lagspear        UTF-8      tag=  65:  1 hits
  Lanbo           ASCII      tag=  65:  1 hits
  Lanbo           ASCII      tag= 492:  2 hits
  Lanbo           UTF-16LE   tag= 492:  3 hits
  Lanbo           UTF-8      tag=  65:  1 hits
  Lanbo           UTF-8      tag= 492:  2 hits
  Liangzzi        ASCII      tag= 492:  2 hits
  Liangzzi        UTF-8      tag= 492:  2 hits
  Lingboo         ASCII      tag=  65:  2 hits
  Lingboo         ASCII      tag= 492:  5 hits
  Lingboo         UTF-16LE   tag=  65:  2 hits
  Lingboo         UTF-8      tag=  65:  2 hits
  Lingboo         UTF-8      tag= 492:  5 hits
  Lobopidaum      ASCII      tag= 551:  1 hits
  Lobopidaum      UTF-8      tag= 551:  1 hits
  Loowuiu         ASCII      tag=  65:  2 hits
  Loowuiu         ASCII      tag= 492:  1 hits
  Loowuiu         UTF-8      tag=  65:  2 hits
  Loowuiu         UTF-8      tag= 492:  1 hits
  Lordcydo        ASCII      tag= 492:  2 hits
  Lordcydo        UTF-8      tag= 492:  2 hits
  Lskylinel       ASCII      tag= 492:  1 hits
  Lskylinel       UTF-8      tag= 492:  1 hits
  Maciel          ASCII      tag= 492:  1 hits
  Maciel          UTF-8      tag= 492:  1 hits
  Magrin          ASCII      tag= 492:  4 hits
  Magrin          UTF-8      tag= 492:  4 hits
  Malik           ASCII      tag= 492:  1 hits
  Malik           UTF-8      tag= 492:  1 hits
  Mantou          ASCII      tag=  65:  2 hits
  Mantou          ASCII      tag= 492:  17 hits
  Mantou          UTF-8      tag=  65:  2 hits
  Mantou          UTF-8      tag= 492:  17 hits
  Marcelo         ASCII      tag= 492:  1 hits
  Marcelo         UTF-8      tag= 492:  1 hits
  Mengpo          UTF-16LE   tag=  65:  1 hits
  Meupau          ASCII      tag= 492:  11 hits
